Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Failure_Type
L,295.6,306.0,1949,21.9,5,0
L,301.0,310.9,1740,28.9,129,0
M,304.3,313.4,1624,32.1,53,0
M,299.2,308.5,1742,28.9,150,0
H,298.8,308.5,1359,47.6,85,0
M,300.5,311.6,1658,30.4,170,0
L,302.4,311.9,1452,43.1,137,0
H,296.9,307.9,1557,36.5,63,0
H,303.3,312.6,1692,29.0,125,0
L,297.5,308.6,1388,48.2,203,0
H,300.0,311.4,1641,34.5,155,0
L,299.8,310.9,2084,17.6,175,0
M,298.4,309.1,1576,38.8,167,0
L,299.8,309.1,1612,35.4,205,0
L,299.7,309.2,1422,40.4,140,0
L,298.9,310.2,1359,56.9,166,0
H,298.6,308.3,1377,52.1,181,0
M,299.5,310.9,1577,34.6,159,0
L,297.6,309.5,1574,30.9,151,0
L,297.1,307.8,1536,40.4,92,0
L,300.8,311.9,1560,31.8,21,0
L,298.5,309.7,1634,37.8,78,0
L,298.1,307.7,1479,45.0,136,0
M,302.5,312.0,1487,46.1,175,0
H,300.4,311.4,1445,52.4,105,0
L,297.1,307.8,1584,42.3,135,0
H,299.9,309.8,1400,48.7,119,0
M,297.4,308.7,1392,46.4,174,0
M,297.6,308.4,1611,31.0,48,0
L,297.6,309.4,1491,40.2,231,0
L,300.3,311.1,1605,37.1,160,0
L,299.8,309.5,1545,32.2,18,0
M,298.9,309.8,1836,22.8,18,0
M,300.4,310.6,1545,35.6,16,0
L,298.8,308.9,1455,41.3,208,1
M,304.2,313.5,1557,37.3,164,0
M,303.4,311.7,1353,44.1,192,2
M,298.9,309.8,1392,43.1,218,0
L,303.6,312.3,2168,17.7,219,0
L,297.6,309.5,1924,20.6,37,0
M,300.7,310.6,1484,38.0,84,0
L,303.7,312.5,1481,33.3,182,0
M,298.9,310.4,1533,44.4,24,0
L,302.0,310.5,1978,22.0,106,0
L,300.4,310.5,1402,54.3,44,0
M,296.6,307.5,1482,39.9,153,0
L,299.2,310.6,1675,33.3,28,0
L,302.5,310.5,1520,41.2,154,0
L,302.3,312.0,1398,43.3,171,0
H,298.4,308.7,1344,52.9,130,0
L,301.3,311.3,1434,49.8,16,0
L,299.8,309.7,1457,51.9,89,0
M,297.4,308.2,1401,51.9,117,0
L,298.1,308.2,1521,39.3,151,0
L,300.7,310.6,1288,47.2,216,0
L,298.3,308.2,1663,28.4,67,0
M,297.9,307.5,1642,32.4,126,0
L,300.2,310.2,1530,48.5,15,0
L,300.8,309.4,1489,38.4,109,0
L,298.2,307.9,1313,67.3,67,3
L,300.8,310.8,1689,32.9,151,0
L,301.3,310.8,1719,29.5,62,0
H,299.2,308.8,1908,21.3,104,0
H,300.2,310.4,1501,42.9,212,0
L,301.0,311.4,1478,39.5,75,0
H,300.6,311.7,1535,33.3,92,0
L,302.1,311.5,1533,39.4,26,0
L,301.6,310.0,1566,30.3,79,0
L,297.7,308.7,1829,24.9,17,0
H,298.7,308.4,1432,42.8,197,0
L,298.6,309.6,1390,50.3,196,0
L,300.0,309.1,1791,28.2,108,0
L,301.6,309.8,1588,33.9,89,0
L,300.0,311.5,1601,36.9,35,0
L,301.4,310.7,1428,53.7,176,0
L,298.7,308.5,1668,35.2,77,0
L,300.4,311.8,1601,36.1,0,0
M,300.8,310.4,1450,39.4,62,0
M,297.2,308.6,1444,41.1,56,0
M,299.8,309.6,1434,48.0,82,0
L,302.3,310.9,1587,36.6,20,0
L,300.2,309.7,1771,27.1,104,0
L,301.5,310.6,1481,46.8,20,0
L,298.9,310.1,1577,41.4,80,0
M,297.0,307.9,1414,46.2,165,0
M,299.0,308.6,1645,33.4,22,0
M,295.5,305.9,1380,52.4,202,0
L,303.5,312.5,1380,46.1,166,0
M,301.6,310.5,1414,49.3,106,0
L,298.4,309.7,1581,34.6,150,0
L,300.4,311.2,1406,43.6,22,0
L,301.5,311.1,1458,41.4,123,0
L,298.9,310.1,1750,25.0,156,0
L,302.2,310.6,1346,47.5,109,2
H,300.9,310.7,1403,40.6,207,0
M,299.2,310.3,1551,44.8,18,0
L,298.3,309.5,1711,30.3,148,0
L,299.4,309.1,1766,24.6,158,0
L,297.8,307.2,1351,56.3,174,0
L,298.5,310.1,1809,28.9,20,0
L,301.0,311.3,1349,47.0,71,0
M,298.8,309.6,1692,31.9,167,0
M,298.3,308.6,1589,37.1,137,0
M,300.1,310.4,1556,38.1,92,0
M,302.5,311.0,1387,52.1,116,0
L,296.6,307.4,1616,28.0,175,0
M,297.4,309.0,1497,41.8,144,0
M,301.1,310.6,1479,41.1,72,0
L,299.9,310.3,1268,53.3,146,0
L,298.8,309.3,1450,44.8,63,0
M,297.5,308.9,1436,44.8,2,0
M,302.2,311.6,1592,37.7,79,0
L,301.3,310.8,1560,38.5,52,0
M,301.4,310.4,1553,44.7,173,0
M,302.1,310.0,1355,45.1,6,2
L,297.0,307.8,1500,39.9,175,0
L,299.4,309.0,1507,41.0,213,0
L,298.2,308.6,1353,54.1,38,0
M,296.6,307.5,1566,35.0,201,0
L,303.4,311.8,1401,53.0,208,4
L,302.2,311.0,1555,34.2,185,0
L,300.0,310.4,1505,44.9,133,0
M,298.4,309.3,1355,50.6,8,0
L,300.3,311.5,1466,46.2,62,0
L,300.3,310.6,1806,24.4,88,0
L,301.3,310.8,1390,57.4,164,0
M,297.5,308.1,1334,72.0,151,3
M,298.9,309.6,1284,55.3,166,0
L,297.7,308.7,1731,28.4,104,0
M,298.8,309.7,1499,40.3,154,0
L,300.5,310.5,1536,36.2,12,0
L,301.3,310.5,1503,48.6,72,0
L,298.1,308.7,1691,30.3,49,0
M,300.8,310.8,1415,44.5,87,0
L,303.4,312.7,1363,45.5,26,0
M,304.1,313.6,1441,43.7,131,0
L,297.9,307.3,1824,26.3,5,0
L,300.0,309.4,2010,20.0,55,0
M,299.2,308.6,1367,47.6,168,0
L,299.7,309.2,1616,31.6,175,0
L,298.8,309.6,1613,27.7,143,0
H,298.8,310.5,1294,55.8,202,0
L,296.7,307.9,1420,50.1,138,0
L,300.4,310.5,1818,25.1,14,0
M,298.3,309.5,1543,49.9,199,0
M,302.3,311.5,1316,47.2,4,0
L,297.9,308.1,1585,33.5,212,0
M,302.3,311.7,1640,31.5,199,0
H,298.5,309.7,1561,35.3,208,0
M,301.6,310.9,1510,40.9,152,0
L,302.5,311.2,1227,60.1,167,0
L,303.9,313.1,1310,62.9,130,0
L,303.7,312.1,1363,51.8,90,2
M,295.6,306.2,1477,45.0,40,0
M,302.2,310.5,1507,40.4,111,0
L,297.5,308.7,1407,42.5,145,0
M,300.2,310.2,1628,30.3,27,0
L,298.1,308.4,1436,46.7,103,0
L,300.8,311.7,1432,45.8,6,0
L,296.3,307.4,1472,39.9,51,0
L,302.7,312.2,1447,47.5,166,0
M,299.9,309.4,1399,54.8,3,0
L,301.5,311.1,1469,49.5,107,0
M,302.4,310.2,1485,45.9,50,0
L,301.1,310.1,1489,45.8,42,0
L,300.9,310.4,1445,41.7,180,0
L,300.2,311.5,1685,31.0,193,0
M,300.6,310.6,1463,45.5,196,0
H,300.7,309.5,2007,19.7,2,0
L,296.2,307.1,1444,46.7,194,0
L,300.4,309.7,1488,35.7,177,0
L,298.5,309.6,1421,53.6,122,0
M,299.9,309.6,1489,41.7,56,0
M,300.7,311.7,1412,49.1,219,0
L,297.2,308.3,1796,23.8,61,0
M,298.0,308.7,1494,42.6,96,0
M,301.5,310.4,1486,39.6,144,0
M,301.4,310.8,1530,39.9,107,0
H,299.0,310.1,1555,38.6,118,0
L,302.6,311.5,1609,36.0,162,0
M,302.2,311.3,1658,31.0,2,0
M,300.3,311.2,1381,65.2,136,3
M,297.5,308.6,1842,27.0,133,0
L,299.3,309.1,1634,36.8,62,0
M,299.7,309.1,1352,46.1,102,0
M,301.4,310.0,1689,32.1,207,0
L,298.2,308.0,1658,30.0,3,0
L,301.0,311.7,1547,34.5,152,0
L,303.4,311.6,1564,41.9,137,0
L,302.6,312.4,1628,33.0,15,0
M,299.4,310.9,1446,47.3,12,0
H,302.8,312.3,1483,47.2,223,0
H,300.4,310.2,1431,43.2,0,0
L,301.9,310.8,1735,31.5,66,0
M,302.3,311.2,1507,47.7,70,0
L,297.0,307.8,1683,32.3,197,0
L,299.5,310.8,1873,22.3,211,0
M,298.7,309.6,1686,26.2,189,0
L,299.3,310.3,1396,47.4,14,0
M,303.6,311.8,1627,30.8,104,0
M,302.8,312.3,1262,70.5,234,4
L,298.4,308.1,1491,50.0,156,0
M,301.0,312.0,1499,34.6,207,0
L,302.6,311.0,1660,38.0,99,0
L,303.9,313.1,1491,37.2,195,0
L,299.1,310.3,1459,46.7,84,0
L,297.8,308.5,1699,27.8,199,0
M,302.4,310.9,1435,42.3,83,0
H,300.9,310.4,1457,43.8,69,0
M,300.8,310.1,1686,26.9,128,0
L,297.6,309.4,1628,33.4,229,0
L,298.4,309.6,1479,37.8,144,0
M,300.5,310.2,1386,48.2,225,0
H,298.5,308.9,1500,40.3,207,0
L,302.2,311.6,1462,50.0,51,0
H,297.3,308.1,1554,42.4,158,0
L,298.3,309.3,1558,37.2,73,0
M,302.3,310.9,1710,30.4,218,1
M,297.8,307.5,1405,46.9,113,0
L,302.2,311.3,1602,32.8,120,0
L,300.6,310.7,1543,39.6,60,0
L,300.4,309.9,1567,36.5,72,0
L,301.6,310.6,1222,70.0,62,0
M,300.1,309.2,1457,44.3,98,0
M,302.0,310.6,1535,38.6,34,0
L,301.8,310.0,1642,32.6,201,0
L,297.8,308.9,1530,37.6,106,0
L,302.6,312.1,1499,35.0,215,0
H,298.8,309.6,1309,57.4,185,0
L,298.8,308.5,1395,44.4,33,0
L,302.2,311.1,1630,34.6,94,0
L,297.2,308.5,1518,44.3,163,0
M,297.7,308.8,1388,45.6,190,0
L,298.8,309.1,1512,40.7,156,0
L,302.5,312.2,1574,38.7,30,0
L,303.5,311.6,1361,46.5,62,2
M,299.0,310.2,1564,39.9,97,0
M,304.2,313.4,1329,54.5,75,0
H,302.3,311.1,1543,37.5,73,0
L,298.1,307.4,1608,33.9,193,0
H,303.3,311.8,1649,29.4,49,0
L,299.5,308.8,1965,20.4,164,0
H,299.2,309.1,1410,47.1,9,0
L,298.5,309.7,1613,36.7,0,0
H,300.0,309.7,1529,42.4,107,0
M,299.0,310.2,1625,31.8,89,0
L,299.7,309.3,1592,34.2,8,0
M,300.8,309.7,1482,39.0,171,0
L,299.8,309.6,1447,43.1,12,0
L,299.8,310.4,1579,36.4,0,0
M,302.5,311.9,1340,59.4,60,0
L,297.4,308.9,1809,23.8,131,0
M,300.5,310.4,1548,37.3,65,0
H,300.5,309.3,1471,45.2,223,0
L,302.3,311.5,1395,54.2,198,0
M,302.3,311.0,1578,33.5,158,0
L,302.8,312.1,1487,36.6,84,0
L,298.5,308.3,1334,49.8,186,0
M,304.1,313.5,1428,39.9,88,0
L,302.1,310.9,1666,30.7,203,0
L,301.6,311.2,1525,43.7,91,0
L,297.4,309.2,1420,45.6,193,0
M,298.1,307.9,1446,42.8,121,0
M,300.5,311.8,1591,42.0,182,0
H,298.0,307.9,1482,37.8,132,0
M,298.0,307.9,1479,47.6,76,0
L,299.7,309.2,1412,45.4,147,0
L,303.3,311.6,1514,34.7,130,0
L,298.1,307.9,1517,40.8,50,0
L,297.0,307.9,1595,31.7,170,0
L,301.5,310.7,1942,20.5,155,0
L,300.4,310.0,1581,30.3,42,0
H,298.5,309.4,1417,41.2,155,0
L,301.3,310.5,1406,47.1,83,0
L,302.8,310.6,1470,41.1,205,0
L,297.8,309.8,1533,36.8,198,0
M,300.7,309.5,1622,30.5,14,0
L,298.5,309.5,1547,33.1,68,0
L,301.0,311.2,1511,42.9,26,0
L,301.2,311.6,1461,52.9,208,4
M,300.2,311.5,1547,40.9,66,0
M,298.0,307.9,1417,51.0,137,0
L,298.7,308.5,1616,30.2,34,0
L,301.3,310.7,1761,24.3,174,0
M,304.3,313.4,1482,43.8,41,0
L,301.6,310.5,1809,25.5,40,0
L,299.1,310.2,1496,45.0,104,0
L,299.8,309.3,1291,56.4,188,0
M,298.8,310.0,1484,44.9,80,0
M,298.8,309.8,1288,61.9,79,0
L,300.5,311.7,1409,54.7,104,0
L,298.0,309.1,1820,23.6,120,0
H,298.3,310.0,1419,47.1,105,0
L,300.1,311.3,1547,40.0,201,0
L,297.5,308.5,1373,39.9,110,0
M,299.7,310.2,1440,42.8,30,0
M,302.3,311.4,1418,41.3,62,0
L,297.6,308.5,1572,35.9,71,0
M,298.5,309.3,1761,27.2,49,0
L,300.0,310.5,1606,33.5,135,0
L,299.7,309.6,1399,51.3,144,0
L,297.4,309.0,1570,37.9,154,0
L,299.0,308.3,1441,44.0,48,0
L,302.3,311.0,1428,47.9,174,0
M,299.8,311.2,1745,26.3,150,0
L,300.3,311.3,1332,60.5,112,0
M,300.7,310.8,1486,41.2,71,0
L,302.8,310.6,1670,29.1,2,0
M,300.7,311.9,1366,55.1,36,0
H,298.1,309.5,1530,40.2,65,0
L,300.4,309.6,1536,34.5,154,0
L,300.8,311.3,1498,40.2,73,0
H,298.9,308.7,1500,41.6,187,0
L,299.8,309.1,1772,24.8,113,0
L,297.8,307.3,1412,50.7,24,0
L,301.9,310.7,1480,47.1,68,0
L,299.8,309.5,1641,27.1,16,0
M,296.2,307.2,1385,44.0,5,0
L,297.9,307.6,1430,52.4,178,0
H,299.7,309.2,1691,27.7,203,0
L,304.2,313.6,1469,40.0,154,0
L,296.7,307.7,1502,43.9,84,0
L,300.3,309.3,1345,53.5,192,0
L,297.4,308.6,1324,59.1,118,0
H,297.4,308.6,1420,45.8,120,0
M,301.3,310.8,1418,45.4,59,0
M,299.8,309.1,1355,56.7,7,0
L,299.1,308.3,1325,46.9,28,0
L,296.7,307.4,1535,34.6,114,0
M,298.8,308.6,1507,42.3,207,0
L,296.8,308.0,1666,29.8,41,0
M,304.0,313.1,1450,42.8,101,0
M,300.3,311.6,1617,32.5,115,0
M,300.0,309.6,1587,32.6,152,0
M,303.4,312.8,1526,30.8,37,0
M,300.2,310.1,1550,38.7,45,0
M,298.4,308.2,1463,37.6,188,0
L,302.0,310.1,1409,50.4,172,0
L,298.9,308.2,2384,15.0,19,0
L,297.5,309.1,1611,30.2,211,0
L,297.2,308.3,1379,52.1,21,0
M,299.3,308.8,1648,28.4,188,0
L,301.6,310.6,1431,37.5,137,0
M,297.7,308.5,1559,35.2,127,0
L,297.3,308.5,1384,39.6,144,0
M,298.2,309.2,1332,60.2,147,0
M,299.8,311.1,1763,25.5,171,0
L,302.1,310.6,1439,40.0,7,0
L,300.8,311.6,1568,36.0,23,0
L,301.2,310.3,1497,45.7,76,0
M,300.7,310.8,1465,45.2,92,0
L,296.6,307.6,1671,28.8,108,0
M,299.2,309.0,1881,23.9,137,0
M,298.2,307.7,1608,33.8,106,0
H,300.8,310.9,1425,44.0,33,0
M,298.9,309.6,1567,34.5,204,0
L,297.3,308.2,1896,24.4,47,0
L,303.5,313.0,1393,51.6,80,0
H,298.3,310.1,1509,37.6,85,0
L,301.4,310.7,1568,35.2,23,0
H,296.4,307.1,1638,32.5,146,0
M,298.3,309.3,1376,57.0,198,0
L,300.5,311.4,1611,32.7,44,0
L,299.3,309.2,1775,24.2,125,0
L,298.4,309.1,1579,36.1,123,0
H,301.1,310.6,1782,24.9,93,0
L,300.1,309.4,1568,39.7,42,0
M,298.2,309.3,2056,18.7,144,0
H,304.0,313.2,1517,43.1,96,0
L,300.6,309.6,1423,49.1,74,0
H,303.9,313.2,1680,29.1,201,0
M,300.7,311.0,1378,41.2,93,0
L,300.0,309.3,1364,41.2,104,0
H,300.7,310.8,1296,58.2,204,0
L,300.0,309.4,1308,50.2,32,0
M,299.8,309.2,1372,58.2,65,0
M,298.1,307.7,1424,47.7,103,0
H,298.4,308.3,1458,42.9,15,0
L,299.0,310.1,1623,33.0,210,0
L,298.2,308.3,1805,31.6,96,0
L,297.1,308.1,1487,34.6,208,0
H,298.5,309.4,1573,33.6,143,0
H,301.2,310.7,1656,26.2,64,0
H,298.8,308.6,1524,37.7,170,0
M,298.6,309.4,1465,41.1,30,0
M,303.0,312.7,1553,35.8,122,0
M,302.4,311.9,1313,55.7,102,0
L,296.5,307.5,1566,35.1,206,0
L,302.5,311.9,1265,59.8,119,0
L,298.6,309.4,1375,55.4,145,0
L,300.5,311.9,1383,50.5,35,0
M,297.5,308.4,1403,44.3,25,0
L,301.9,311.1,1448,46.3,14,0
M,302.4,310.3,1375,52.5,161,2
L,298.9,309.0,1601,32.3,202,0
L,300.5,310.6,1543,36.2,30,0
H,299.2,308.7,1375,55.1,78,0
M,300.6,311.9,1629,35.3,0,0
M,298.8,309.7,2098,19.0,133,0
M,298.1,308.5,1372,51.1,116,0
M,299.9,309.2,1389,51.2,185,0
H,300.8,310.4,1419,46.4,200,0
M,297.6,308.3,1467,36.7,68,0
M,300.9,311.9,1310,56.1,35,0
M,297.9,309.0,1970,21.6,37,0
M,303.8,312.8,1420,47.9,200,0
L,300.6,309.7,1593,32.4,76,0
L,298.6,309.8,1332,46.4,76,0
L,299.6,309.1,1369,51.4,164,0
M,302.1,311.5,1866,23.1,159,0
M,302.2,311.1,1728,34.0,179,0
M,303.0,311.2,1592,38.9,188,0
L,299.9,310.9,1292,51.1,173,0
L,301.6,311.1,1325,49.2,104,0
L,300.2,311.0,1255,71.8,149,3
M,302.7,312.0,1944,21.4,71,0
L,298.4,309.4,1385,43.2,119,0
L,300.2,309.7,1421,44.6,17,0
L,302.3,311.7,1510,38.7,141,0
L,298.1,309.9,1642,30.4,58,0
H,297.3,308.4,1864,23.1,90,0
M,298.5,309.7,1523,44.6,83,0
L,300.9,310.9,1228,66.4,109,0
L,302.0,310.6,1325,55.3,192,0
H,304.1,313.4,1696,29.6,65,0
M,297.3,308.3,1544,41.7,6,0
L,302.0,310.6,1583,38.9,94,0
L,303.7,312.0,1892,22.5,79,0
M,304.0,313.2,1437,53.9,7,0
